"","t","k","mean_ER"
"688",8,117,-0.00506695611647223
"689",9,32,-0.00502851062314397
"690",9,33,-0.00378234343245227
"691",9,34,-0.00288695868643276
"692",9,35,-0.00188039423900309
"693",9,36,-0.00166446219734666
"694",9,37,-0.00204032257126665
"695",9,38,-0.00397441485646957
"696",9,39,-0.00381547498315692
"697",9,40,-0.00392388347830046
"698",9,41,-0.00483617711464989
"699",9,42,-0.00503170821196949
"700",9,43,-0.00469007844643903
"701",9,44,-0.0049970690093333
"702",9,45,-0.00540985304443378
"703",9,46,-0.00477244784475821
"704",9,47,-0.00437415505779504
"705",9,48,-0.00452018520596319
"706",9,49,-0.00513606960480998
"707",9,50,-0.00546479974112609
"708",9,51,-0.00543030858704416
"709",9,52,-0.00566764660365107
"710",9,53,-0.00614713581621185
"711",9,54,-0.00562660333150911
"712",9,55,-0.00519251342881304
"713",9,56,-0.00511970867374502
"714",9,57,-0.00523357081039171
"715",9,58,-0.00472632266494062
"716",9,59,-0.00462077602189319
"717",9,60,-0.00637458219804521
"718",9,61,-0.00679233637767399
"719",9,62,-0.0056572022106828
"720",9,63,-0.00577870726345638
"721",9,64,-0.00528947588758093
"722",9,65,-0.00566746819335612
"723",9,66,-0.00644132849243709
"724",9,67,-0.00667378758634688
"725",9,68,-0.00629617302192234
"726",9,69,-0.00695214932605269
"727",9,70,-0.00702905590791031
"728",9,71,-0.00722533935088825
"729",9,72,-0.00729315482078061
"730",9,73,-0.00762543595655181
"731",9,74,-0.00715913148971343
"732",9,75,-0.00767141612211868
"733",9,76,-0.00781451523843013
"734",9,77,-0.00730313484194161
"735",9,78,-0.00637216481945055
"736",9,79,-0.00562241050503551
"737",9,80,-0.00515120716109594
"738",9,81,-0.00516505909689698
"739",9,82,-0.00577408612607603
"740",9,83,-0.0057128390535893
"741",9,84,-0.00547019391661089
"742",9,85,-0.00556116849867419
"743",9,86,-0.00583290277354887
"744",9,87,-0.00556448370692935
"745",9,88,-0.00530291379169139
"746",9,89,-0.00498471541655733
"747",9,90,-0.00496177001015033
"748",9,91,-0.00539433826789852
"749",9,92,-0.0054592330069928
"750",9,93,-0.00615267089392337
"751",9,94,-0.00614558550612408
"752",9,95,-0.00652489442791886
"753",9,96,-0.00652835269983264
"754",9,97,-0.00664729401777949
"755",9,98,-0.00715644897926002
"756",9,99,-0.0069527110033362
"757",9,100,-0.00709012030613138
"758",9,101,-0.00700891804037181
"759",9,102,-0.00653682891873464
"760",9,103,-0.00663802108865803
"761",9,104,-0.00632448160201865
"762",9,105,-0.00640801818100462
"763",9,106,-0.00673160456263873
"764",9,107,-0.0065085423280182
"765",9,108,-0.00643874618480485
"766",9,109,-0.00614935042141635
"767",9,110,-0.00534624132805937
"768",9,111,-0.00575487872402918
"769",9,112,-0.00563327296446867
"770",9,113,-0.00541529383046534
"771",9,114,-0.0046579516712642
"772",9,115,-0.00412372089284307
"773",9,116,-0.00443328854467841
"774",9,117,-0.00393979923594769
"775",10,32,-0.00458966151144008
"776",10,33,-0.00463335111714562
"777",10,34,-0.00422536448830895
"778",10,35,-0.00448367129206985
"779",10,36,-0.00311472490872418
"780",10,37,-0.00359456484457085
"781",10,38,-0.00313985650434102
"782",10,39,-0.00361542156496634
"783",10,40,-0.0029133618495962
"784",10,41,-0.00367747356994075
"785",10,42,-0.00418024148061071
"786",10,43,-0.00447369824320456
"787",10,44,-0.00509934171788712
"788",10,45,-0.00456191808502207
"789",10,46,-0.00555985437640221
"790",10,47,-0.00598587487248511
"791",10,48,-0.00557995199971986
"792",10,49,-0.00479358546555463
"793",10,50,-0.00502318929760463
"794",10,51,-0.00409776004019489
"795",10,52,-0.00403688324541806
"796",10,53,-0.00412056235934944
"797",10,54,-0.00489690121620581
"798",10,55,-0.00433125183527689
"799",10,56,-0.00464728556101033
"800",10,57,-0.00514891946333982
"801",10,58,-0.00592081069558018
"802",10,59,-0.00401494766417026
"803",10,60,-0.00566434093785075
"804",10,61,-0.00700007399488301
"805",10,62,-0.00648864011216531
"806",10,63,-0.00666129330252701
"807",10,64,-0.00613990490000517
"808",10,65,-0.00605678760740134
"809",10,66,-0.00691277550002548
"810",10,67,-0.00686482904454594
"811",10,68,-0.00638840429243326
"812",10,69,-0.00677570489918001
"813",10,70,-0.00766952970914991
"814",10,71,-0.00681923821494537
"815",10,72,-0.00753979857294901
"816",10,73,-0.00720171778852435
"817",10,74,-0.00721299841489873
"818",10,75,-0.0075414335252596
"819",10,76,-0.00787960353216184
"820",10,77,-0.00752837591279098
"821",10,78,-0.00732942640704232
"822",10,79,-0.00764644046061674
"823",10,80,-0.00663690270331313
"824",10,81,-0.00692724544959007
"825",10,82,-0.00736135649559113
